Time,Total,,
07/01/2030 02:59,36973.81645,,
07/01/2030 03:59,33752.39892,,
07/01/2030 04:59,31549.22174,,
07/01/2030 05:59,29190.03719,,
07/01/2030 06:59,30284.84489,,
07/01/2030 07:59,34104.99287,,
07/01/2030 08:59,39973.16329,,
07/01/2030 09:59,42406.61918,,
07/01/2030 10:59,44254.36097,,
07/01/2030 11:59,44890.09698,,
07/01/2030 12:59,45253.56853,,
07/01/2030 13:59,45431.48345,,
07/01/2030 14:59,43754.58088,,
07/01/2030 15:59,43808.83542,,
07/01/2030 16:59,44709.17007,,
07/01/2030 17:59,48229.59372,,
07/01/2030 18:59,52244.09562,,
07/01/2030 19:59,51397.24658,,
07/01/2030 20:59,49084.2527,,
07/01/2030 21:59,46772.90991,,
07/01/2030 22:59,48253.6955,,
07/01/2030 23:59,46980.8103,,
08/01/2030 00:59,43123.83464,,
08/01/2030 01:59,42440.43879,,
08/01/2030 02:59,39578.39323,,
08/01/2030 03:59,36461.47797,,
08/01/2030 04:59,34361.47228,,
08/01/2030 05:59,32311.16961,,
08/01/2030 06:59,34336.58962,,
08/01/2030 07:59,39619.06733,,
08/01/2030 08:59,46223.87775,,
08/01/2030 09:59,48626.36299,,
08/01/2030 10:59,50183.20886,,
08/01/2030 11:59,50566.29515,,
08/01/2030 12:59,50781.26376,,
08/01/2030 13:59,50739.636,,
08/01/2030 14:59,48890.79276,,
08/01/2030 15:59,48761.34908,,
08/01/2030 16:59,49453.47243,,
08/01/2030 17:59,52250.35198,,
08/01/2030 18:59,56250.62528,,
08/01/2030 19:59,56226.21021,,
08/01/2030 20:59,54257.12437,,
08/01/2030 21:59,51274.29535,,
08/01/2030 22:59,51816.26122,,
08/01/2030 23:59,50189.66623,,
09/01/2030 00:59,46541.72737,,
09/01/2030 01:59,45732.72716,,
09/01/2030 02:59,42864.3177,,
09/01/2030 03:59,39865.43209,,
09/01/2030 04:59,37791.42721,,
09/01/2030 05:59,35518.75653,,
09/01/2030 06:59,37001.93725,,
09/01/2030 07:59,41933.61386,,
09/01/2030 08:59,49021.45967,,
09/01/2030 09:59,51384.87753,,
09/01/2030 10:59,52681.33627,,
09/01/2030 11:59,52829.03523,,
09/01/2030 12:59,52880.66408,,
09/01/2030 13:59,52766.48334,,
09/01/2030 14:59,50902.16784,,
09/01/2030 15:59,50678.33104,,
09/01/2030 16:59,50997.86851,,
09/01/2030 17:59,53601.01746,,
09/01/2030 18:59,57134.73862,,
09/01/2030 19:59,56340.88827,,
09/01/2030 20:59,54056.2694,,
09/01/2030 21:59,51715.04278,,
09/01/2030 22:59,53302.23897,,
09/01/2030 23:59,49012.50483,,
10/01/2030 00:59,45525.91229,,
10/01/2030 01:59,44704.03978,,
10/01/2030 02:59,41853.91639,,
10/01/2030 03:59,38829.59723,,
10/01/2030 04:59,36754.81029,,
10/01/2030 05:59,34520.7648,,
10/01/2030 06:59,35895.50521,,
10/01/2030 07:59,40613.86645,,
10/01/2030 08:59,47421.28025,,
10/01/2030 09:59,49421.32571,,
10/01/2030 10:59,50451.33501,,
10/01/2030 11:59,50424.83641,,
10/01/2030 12:59,50397.62097,,
10/01/2030 13:59,50328.78802,,
10/01/2030 14:59,48567.98366,,
10/01/2030 15:59,48485.86096,,
10/01/2030 16:59,49024.31845,,
10/01/2030 17:59,52137.95695,,
10/01/2030 18:59,56029.11733,,
10/01/2030 19:59,55173.65657,,
10/01/2030 20:59,52675.85205,,
10/01/2030 21:59,50194.58985,,
